round,name,n_tr,mean_bp_tr,med_bp_tr,win_tr,pf_tr,day_t_tr,per_day_tr,status_tr,n_va,mean_bp_va,med_bp_va,win_va,pf_va,day_t_va,per_day_va,status_va
357,Taker Persist 3b >57% H=18,1785,5.53,-16.2,0.482,1.036,0.25,6.54,PROFITABLE,1168,31.76,24.74,0.531,1.253,1.19,12.98,PROFITABLE
358,Taker Persist 3b >57% H=24,1744,13.02,-9.16,0.491,1.073,0.43,6.39,PROFITABLE,1130,24.94,43.47,0.548,1.168,0.77,12.56,PROFITABLE
359,Taker Persist 3b >62% H=18,160,40.82,23.38,0.525,1.338,1.15,0.59,PROFITABLE,222,34.15,23.13,0.536,1.3,0.94,2.47,PROFITABLE
360,Taker Persist 3b >62% H=24,159,31.87,5.08,0.522,1.243,0.85,0.58,PROFITABLE,216,16.17,9.8,0.519,1.115,0.42,2.4,PROFITABLE
361,Taker Persist 3b >66% H=18,11,64.22,18.06,0.727,1.95,0.77,0.04,PROFITABLE,55,59.29,15.78,0.509,1.495,0.76,0.61,PROFITABLE
362,Taker Persist 3b >66% H=24,11,146.25,120.08,0.727,4.34,1.76,0.04,PROFITABLE,54,110.33,2.39,0.5,1.984,1.34,0.6,PROFITABLE
363,Taker Persist 4b >57% H=18,369,-5.78,-20.93,0.482,0.962,-0.19,1.35,REJECT,289,7.73,-1.83,0.498,1.06,0.2,3.21,PROFITABLE
364,Taker Persist 4b >57% H=24,365,19.42,-1.84,0.496,1.109,0.45,1.34,PROFITABLE,288,20.04,42.25,0.542,1.135,0.45,3.2,PROFITABLE
365,Taker Persist 4b >62% H=18,18,14.54,-37.15,0.444,1.132,0.18,0.07,PROFITABLE,46,66.17,16.64,0.522,1.778,0.79,0.51,PROFITABLE
366,Taker Surge QV>2.0x at Level H=12,1382,20.09,-6.68,0.489,1.181,0.96,5.06,PROFITABLE,861,15.56,8.43,0.519,1.154,0.75,9.57,PROFITABLE
367,Taker Surge QV>2.0x at Level H=18,1350,36.35,5.81,0.507,1.269,1.12,4.95,PROFITABLE,829,24.93,19.67,0.515,1.212,0.98,9.21,PROFITABLE
368,Taker Surge QV>2.0x at Level H=24,1321,56.99,-17.53,0.481,1.349,1.2,4.84,PROFITABLE,810,3.9,11.81,0.525,1.025,0.12,9.0,PROFITABLE
369,Taker Surge QV>3.0x at Level H=12,327,-17.79,-4.02,0.486,0.849,-0.73,1.2,REJECT,259,10.88,-9.64,0.479,1.111,0.42,2.88,PROFITABLE
370,Taker Surge QV>3.0x at Level H=18,323,8.35,-20.93,0.461,1.06,0.18,1.18,PROFITABLE,256,16.14,-6.35,0.484,1.141,0.51,2.84,PROFITABLE
371,Taker Surge QV>3.0x at Level H=24,319,34.62,-20.46,0.464,1.211,0.5,1.17,PROFITABLE,253,-12.22,0.05,0.502,0.924,-0.27,2.81,REJECT
372,Taker Surge QV>4.0x at Level H=12,108,-28.45,-20.36,0.435,0.748,-0.94,0.4,REJECT,76,48.63,-22.13,0.461,1.577,1.25,0.84,PROFITABLE
373,Taker Surge QV>4.0x at Level H=18,107,-26.72,-43.09,0.374,0.795,-0.68,0.39,REJECT,75,10.42,-42.83,0.467,1.078,0.21,0.83,PROFITABLE
374,Taker Surge QV>4.0x at Level H=24,107,17.13,-31.81,0.439,1.126,0.31,0.39,PROFITABLE,74,-13.09,-42.86,0.459,0.928,-0.19,0.82,REJECT
375,Level Taker Surge Variant 375,107,17.13,-31.81,0.439,1.126,0.31,0.39,PROFITABLE,74,-13.09,-42.86,0.459,0.928,-0.19,0.82,REJECT
376,Level Taker Surge Variant 376,107,17.13,-31.81,0.439,1.126,0.31,0.39,PROFITABLE,74,-13.09,-42.86,0.459,0.928,-0.19,0.82,REJECT
377,Level Taker Surge Variant 377,107,17.13,-31.81,0.439,1.126,0.31,0.39,PROFITABLE,74,-13.09,-42.86,0.459,0.928,-0.19,0.82,REJECT
378,Level Taker Surge Variant 378,107,17.13,-31.81,0.439,1.126,0.31,0.39,PROFITABLE,74,-13.09,-42.86,0.459,0.928,-0.19,0.82,REJECT
379,Level Taker Surge Variant 379,107,17.13,-31.81,0.439,1.126,0.31,0.39,PROFITABLE,74,-13.09,-42.86,0.459,0.928,-0.19,0.82,REJECT
380,Level Taker Surge Variant 380,107,17.13,-31.81,0.439,1.126,0.31,0.39,PROFITABLE,74,-13.09,-42.86,0.459,0.928,-0.19,0.82,REJECT
381,Inst Block QV>2.0x Cnt<0.7x H=18,1,-50.03,-50.03,0.0,0.0,-50030239661.38,0.0,REJECT,6,75.38,101.26,0.5,1.457,0.35,0.07,PROFITABLE
382,Inst Block QV>2.0x Cnt<0.7x H=24,1,40.06,40.06,1.0,999.0,40059882679.68,0.0,PROFITABLE,6,182.23,196.04,0.5,2.061,0.73,0.07,PROFITABLE
383,Inst Block QV>2.0x Cnt<0.8x H=18,5,-152.57,-50.03,0.4,0.203,-0.99,0.02,REJECT,14,13.54,24.17,0.5,1.061,0.09,0.16,PROFITABLE
384,Inst Block QV>2.0x Cnt<0.8x H=24,5,-46.78,40.06,0.6,0.758,-0.22,0.02,REJECT,14,68.15,11.08,0.5,1.311,0.38,0.16,PROFITABLE
385,Inst Block QV>2.0x Cnt<0.9x H=18,18,-124.08,-57.51,0.389,0.324,-1.63,0.07,REJECT,28,-6.55,-21.6,0.5,0.966,-0.07,0.31,REJECT
386,Inst Block QV>2.0x Cnt<0.9x H=24,18,-81.88,-3.57,0.5,0.566,-0.95,0.07,REJECT,28,-32.59,11.08,0.5,0.863,-0.29,0.31,REJECT
387,Inst Block QV>2.5x Cnt<0.7x H=18,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT,3,-330.25,-421.61,0.0,0.0,-2.3,0.03,REJECT
388,Inst Block QV>2.5x Cnt<0.7x H=24,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT,3,-343.62,-457.5,0.0,0.0,-2.42,0.03,REJECT
389,Inst Block QV>2.5x Cnt<0.8x H=18,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT,4,-7.5,-235.38,0.25,0.97,-0.02,0.04,REJECT
390,Inst Block QV>2.5x Cnt<0.8x H=24,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT,4,62.33,-259.44,0.25,1.242,0.15,0.04,PROFITABLE
391,Inst Block QV>2.5x Cnt<0.9x H=18,3,58.34,117.77,0.667,3.693,0.95,0.01,PROFITABLE,10,111.29,-47.55,0.4,1.836,0.74,0.11,PROFITABLE
392,Inst Block QV>2.5x Cnt<0.9x H=24,3,113.36,96.39,0.667,8.206,1.16,0.01,PROFITABLE,10,80.15,30.65,0.5,1.406,0.43,0.11,PROFITABLE
393,Inst Block QV>3.0x Cnt<0.7x H=18,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
394,Inst Block QV>3.0x Cnt<0.7x H=24,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
395,Inst Block QV>3.0x Cnt<0.8x H=18,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT,0,0.0,0.0,0.0,0.0,0.0,0.0,REJECT
396,Retail FOMO Fade Cnt>2.5x H=12,7,135.63,289.95,0.714,1.798,0.67,0.03,PROFITABLE,21,16.06,-7.47,0.476,1.078,0.11,0.23,PROFITABLE
397,Retail FOMO Fade Cnt>2.5x H=18,7,156.4,133.83,0.571,1.577,0.42,0.03,PROFITABLE,21,49.62,-14.92,0.476,1.22,0.3,0.23,PROFITABLE
398,Retail FOMO Fade Cnt>2.5x H=12,13,-989.92,63.68,0.538,0.142,-1.1,0.05,REJECT,31,10.04,1.56,0.516,1.058,0.1,0.34,PROFITABLE
399,Retail FOMO Fade Cnt>2.5x H=18,13,-980.95,-227.61,0.462,0.239,-1.06,0.05,REJECT,31,78.58,2.68,0.516,1.468,0.66,0.34,PROFITABLE
400,Retail FOMO Fade Cnt>2.5x H=12,22,-511.69,7.2,0.5,0.318,-0.94,0.08,REJECT,47,42.67,37.45,0.532,1.308,0.57,0.52,PROFITABLE
401,Retail FOMO Fade Cnt>2.5x H=18,22,-613.62,-256.62,0.364,0.321,-1.1,0.08,REJECT,47,101.51,88.08,0.596,1.796,1.19,0.52,PROFITABLE
402,Retail FOMO Fade Cnt>3.0x H=12,4,192.58,439.08,0.75,2.003,0.58,0.01,PROFITABLE,10,49.42,67.53,0.5,1.21,0.22,0.11,PROFITABLE
403,Retail FOMO Fade Cnt>3.0x H=18,4,380.52,293.46,0.75,2.411,0.6,0.01,PROFITABLE,10,75.7,-111.46,0.4,1.256,0.28,0.11,PROFITABLE
404,Retail FOMO Fade Cnt>3.0x H=12,7,-1660.09,63.68,0.571,0.086,-1.0,0.03,REJECT,14,-26.16,-80.87,0.429,0.889,-0.15,0.16,REJECT
405,Retail FOMO Fade Cnt>3.0x H=18,7,-1507.52,231.05,0.571,0.221,-0.87,0.03,REJECT,14,56.34,-6.12,0.5,1.245,0.29,0.16,PROFITABLE
406,Retail FOMO Fade Cnt>3.0x H=12,9,-1422.47,-313.26,0.444,0.079,-1.11,0.03,REJECT,18,17.76,34.49,0.5,1.093,0.13,0.2,PROFITABLE
407,Retail FOMO Fade Cnt>3.0x H=18,9,-1345.52,-756.4,0.444,0.198,-1.01,0.03,REJECT,18,105.97,102.26,0.611,1.593,0.7,0.2,PROFITABLE
408,Retail FOMO Fade Cnt>4.0x H=12,1,-768.17,-768.17,0.0,0.0,-768174930658.96,0.0,REJECT,1,-1220.0,-1220.0,0.0,0.0,-1219999708961.69,0.01,REJECT
409,Retail FOMO Fade Cnt>4.0x H=18,1,-1078.39,-1078.39,0.0,0.0,-1078394401242.18,0.0,REJECT,1,-1300.0,-1300.0,0.0,0.0,-1299999592546.36,0.01,REJECT
410,Retail FOMO Fade Cnt>4.0x H=12,3,-4073.34,-768.17,0.333,0.013,-1.08,0.01,REJECT,2,-900.59,-900.59,0.0,0.0,-2.82,0.02,REJECT
411,Taker Absorb dip<-2% tr>60% H=12,1309,-28.85,-43.51,0.449,0.844,-1.08,4.79,REJECT,575,-70.69,-49.99,0.449,0.578,-2.35,6.39,REJECT
412,Taker Absorb dip<-2% tr>60% H=18,1295,-40.0,-46.58,0.454,0.821,-1.24,4.74,REJECT,562,-47.54,-30.91,0.468,0.743,-1.27,6.24,REJECT
413,Taker Absorb dip<-2% tr>65% H=12,181,50.53,34.23,0.525,1.4,1.17,0.66,PROFITABLE,141,-33.12,4.33,0.511,0.748,-0.94,1.57,REJECT
414,Taker Absorb dip<-2% tr>65% H=18,181,25.09,-3.77,0.497,1.166,0.58,0.66,PROFITABLE,140,-31.87,8.32,0.514,0.804,-0.72,1.56,REJECT
415,Taker Absorb dip<-2% tr>70% H=12,18,-131.34,-93.53,0.389,0.319,-1.45,0.07,REJECT,30,-58.14,-50.05,0.433,0.599,-0.93,0.33,REJECT
416,Taker Absorb dip<-2% tr>70% H=18,18,-109.17,-110.13,0.333,0.477,-0.92,0.07,REJECT,30,-88.78,-128.71,0.433,0.544,-1.19,0.33,REJECT
417,Taker Absorb dip<-3% tr>60% H=12,494,-18.24,-54.3,0.443,0.911,-0.48,1.81,REJECT,194,-64.74,-70.2,0.423,0.595,-1.75,2.16,REJECT
418,Taker Absorb dip<-3% tr>60% H=18,493,-36.79,-60.76,0.454,0.847,-0.83,1.81,REJECT,194,-32.04,-38.47,0.454,0.819,-0.66,2.16,REJECT
419,Taker Absorb dip<-3% tr>65% H=12,51,118.67,64.41,0.549,2.081,1.57,0.19,PROFITABLE,43,-34.8,-38.21,0.442,0.742,-0.64,0.48,REJECT
420,Taker Absorb dip<-3% tr>65% H=18,51,34.99,-37.82,0.471,1.249,0.52,0.19,PROFITABLE,43,-7.59,-20.0,0.488,0.947,-0.11,0.48,REJECT
421,Taker Absorb dip<-3% tr>70% H=12,4,-21.97,95.29,0.5,0.879,-0.1,0.01,REJECT,7,-56.1,-64.27,0.286,0.436,-0.87,0.08,REJECT
422,Taker Absorb dip<-3% tr>70% H=18,4,46.02,-137.59,0.25,1.209,0.13,0.01,PROFITABLE,7,-78.99,-20.0,0.429,0.301,-0.79,0.08,REJECT
423,Taker Absorb dip<-4% tr>60% H=12,194,46.77,-24.86,0.49,1.237,0.82,0.71,PROFITABLE,74,-10.64,-31.27,0.473,0.916,-0.25,0.82,REJECT
424,Taker Absorb dip<-4% tr>60% H=18,194,38.93,39.18,0.531,1.182,0.67,0.71,PROFITABLE,74,29.31,-11.81,0.486,1.213,0.48,0.82,PROFITABLE
425,Taker Absorb dip<-4% tr>65% H=12,14,358.04,167.25,0.643,5.241,1.94,0.05,PROFITABLE,13,-86.35,-125.76,0.308,0.396,-1.69,0.14,REJECT
426,Stealth RVOL>3.0x Break H=18,3684,-15.15,-50.93,0.454,0.935,-0.31,13.49,REJECT,1886,-85.26,-82.65,0.412,0.581,-1.88,20.96,REJECT
427,Stealth RVOL>3.0x Break H=24,3646,-27.66,-52.88,0.459,0.891,-0.7,13.36,REJECT,1866,-115.68,-108.25,0.377,0.498,-2.53,20.73,REJECT
428,Stealth RVOL>3.0x Break H=36,3492,-8.66,-31.7,0.474,0.97,-0.18,12.79,REJECT,1744,-87.37,-92.55,0.411,0.639,-1.81,19.38,REJECT
429,Stealth RVOL>4.0x Break H=18,1821,5.56,-48.82,0.46,1.023,0.08,6.67,PROFITABLE,1110,-79.85,-68.07,0.408,0.598,-1.61,12.33,REJECT
430,Stealth RVOL>4.0x Break H=24,1813,-18.69,-55.4,0.455,0.93,-0.36,6.64,REJECT,1105,-119.14,-110.23,0.372,0.481,-2.42,12.28,REJECT
431,Stealth RVOL>4.0x Break H=36,1778,-15.06,-36.59,0.467,0.95,-0.26,6.51,REJECT,1069,-74.2,-88.31,0.411,0.687,-1.27,11.88,REJECT
432,Stealth RVOL>5.0x Break H=18,971,23.49,-45.21,0.462,1.091,0.28,3.56,PROFITABLE,708,-49.19,-45.39,0.422,0.723,-1.09,7.87,REJECT
433,Stealth RVOL>5.0x Break H=24,969,-12.95,-63.83,0.46,0.956,-0.18,3.55,REJECT,705,-89.28,-83.14,0.393,0.566,-2.02,7.83,REJECT
434,Stealth RVOL>5.0x Break H=36,961,-14.24,-61.13,0.461,0.957,-0.18,3.52,REJECT,694,-41.22,-49.35,0.439,0.81,-0.63,7.71,REJECT
435,Stealth RVOL Variant 435,969,-12.95,-63.83,0.46,0.956,-0.18,3.55,REJECT,705,-89.28,-83.14,0.393,0.566,-2.02,7.83,REJECT
436,Stealth RVOL Variant 436,969,-12.95,-63.83,0.46,0.956,-0.18,3.55,REJECT,705,-89.28,-83.14,0.393,0.566,-2.02,7.83,REJECT
437,Stealth RVOL Variant 437,969,-12.95,-63.83,0.46,0.956,-0.18,3.55,REJECT,705,-89.28,-83.14,0.393,0.566,-2.02,7.83,REJECT
438,Stealth RVOL Variant 438,969,-12.95,-63.83,0.46,0.956,-0.18,3.55,REJECT,705,-89.28,-83.14,0.393,0.566,-2.02,7.83,REJECT
439,Stealth RVOL Variant 439,969,-12.95,-63.83,0.46,0.956,-0.18,3.55,REJECT,705,-89.28,-83.14,0.393,0.566,-2.02,7.83,REJECT
440,Stealth RVOL Variant 440,969,-12.95,-63.83,0.46,0.956,-0.18,3.55,REJECT,705,-89.28,-83.14,0.393,0.566,-2.02,7.83,REJECT
441,Vol Climax Pin SL=2.0% TP=4.0% H=18,1766,-35.76,-220.0,0.321,0.753,-1.55,6.47,REJECT,803,90.68,152.98,0.542,1.926,1.1,8.92,PROFITABLE
442,Vol Climax Pin SL=2.0% TP=4.0% H=24,1766,-40.54,-220.0,0.309,0.73,-1.77,6.47,REJECT,803,87.48,112.93,0.526,1.861,1.07,8.92,PROFITABLE
443,Vol Climax Pin SL=2.5% TP=5.0% H=18,1761,-26.95,-270.0,0.348,0.837,-0.92,6.45,REJECT,801,122.38,179.13,0.566,2.091,1.2,8.9,PROFITABLE
444,Vol Climax Pin SL=2.5% TP=5.0% H=24,1761,-34.65,-270.0,0.334,0.803,-1.17,6.45,REJECT,801,117.18,155.82,0.541,1.992,1.17,8.9,PROFITABLE
445,Vol Climax Pin SL=3.0% TP=6.0% H=18,1758,-15.61,-320.0,0.374,0.913,-0.43,6.44,REJECT,795,156.64,224.69,0.595,2.291,1.27,8.83,PROFITABLE
446,Vol Climax Pin SL=3.0% TP=6.0% H=24,1758,-26.61,-320.0,0.357,0.864,-0.7,6.44,REJECT,795,150.13,190.77,0.569,2.171,1.25,8.83,PROFITABLE
447,Vol Climax Pin SL=3.5% TP=7.0% H=18,1752,-0.13,-189.23,0.4,0.999,-0.0,6.42,REJECT,792,175.97,223.34,0.612,2.375,1.26,8.8,PROFITABLE
448,Vol Climax Pin SL=3.5% TP=7.0% H=24,1752,-11.02,-370.0,0.384,0.948,-0.24,6.42,REJECT,792,163.4,167.11,0.578,2.184,1.2,8.8,PROFITABLE
449,Vol Climax Pin SL=4.0% TP=8.0% H=18,1743,3.92,-148.82,0.414,1.019,0.08,6.38,PROFITABLE,790,199.25,239.75,0.625,2.477,1.26,8.78,PROFITABLE
450,Vol Climax Pin SL=4.0% TP=8.0% H=24,1743,-15.02,-420.0,0.39,0.935,-0.29,6.38,REJECT,790,183.11,174.72,0.591,2.245,1.2,8.78,PROFITABLE
451,OI Bear Div LB=24 thr=-3% H=18,572,24.13,48.16,0.556,1.12,0.38,2.1,PROFITABLE,184,-6.15,54.94,0.554,0.969,-0.06,2.04,REJECT
452,OI Bull Div LB=24 thr=3% H=18,361,-9.76,-50.23,0.46,0.953,-0.2,1.32,REJECT,61,-57.25,-141.72,0.377,0.775,-0.57,0.68,REJECT
453,OI Bear Div LB=24 thr=-3% H=24,570,42.56,72.94,0.563,1.179,0.53,2.09,PROFITABLE,183,-13.35,73.98,0.585,0.934,-0.15,2.03,REJECT
454,OI Bull Div LB=24 thr=3% H=24,360,-7.22,-78.07,0.431,0.971,-0.12,1.32,REJECT,61,-159.19,-229.21,0.344,0.507,-1.54,0.68,REJECT
455,OI Bear Div LB=24 thr=-5% H=18,286,54.77,71.28,0.587,1.247,0.53,1.05,PROFITABLE,80,-17.5,58.05,0.55,0.914,-0.16,0.89,REJECT
456,OI Bull Div LB=24 thr=5% H=18,217,17.32,-36.28,0.475,1.076,0.29,0.79,PROFITABLE,34,14.12,-156.82,0.441,1.064,0.13,0.38,PROFITABLE
457,OI Bear Div LB=24 thr=-5% H=24,284,48.06,108.91,0.57,1.167,0.36,1.04,PROFITABLE,79,-20.93,78.25,0.608,0.895,-0.2,0.88,REJECT
458,OI Bull Div LB=24 thr=5% H=24,216,6.97,-54.87,0.449,1.026,0.11,0.79,PROFITABLE,34,-167.33,-255.01,0.324,0.504,-1.29,0.38,REJECT
459,OI Bear Div LB=48 thr=-3% H=18,138,25.08,53.76,0.551,1.12,0.33,0.51,PROFITABLE,42,-0.91,40.48,0.571,0.993,-0.01,0.47,REJECT
460,OI Bull Div LB=48 thr=3% H=18,78,51.64,25.39,0.513,1.252,0.55,0.29,PROFITABLE,12,16.93,-0.42,0.5,1.098,0.11,0.13,PROFITABLE
461,OI Bear Div LB=48 thr=-3% H=24,137,64.15,104.08,0.577,1.284,0.68,0.5,PROFITABLE,42,-15.84,78.3,0.571,0.897,-0.13,0.47,REJECT
462,OI Bull Div LB=48 thr=3% H=24,78,53.83,-11.08,0.5,1.209,0.5,0.29,PROFITABLE,12,-29.67,70.48,0.5,0.868,-0.18,0.13,REJECT
463,OI Bear Div LB=48 thr=-5% H=18,66,158.72,91.45,0.606,1.945,1.52,0.24,PASS_TRAIN,17,30.85,64.75,0.588,1.244,0.3,0.19,PROFITABLE
464,OI Bull Div LB=48 thr=5% H=18,48,23.93,-43.7,0.417,1.107,0.22,0.18,PROFITABLE,5,220.34,136.72,1.0,999.0,1.93,0.06,PROFITABLE
465,OI Bear Div LB=48 thr=-5% H=24,66,184.56,165.59,0.636,1.892,1.44,0.24,PROFITABLE,17,13.93,77.65,0.588,1.116,0.14,0.19,PROFITABLE
466,OI Bull Div LB=48 thr=5% H=24,48,-3.5,-55.7,0.458,0.988,-0.03,0.18,REJECT,5,252.68,183.6,0.8,11.993,1.84,0.06,PROFITABLE
467,Coiled box<2% oi>8% H=18,279,7.79,-25.9,0.484,1.036,0.16,1.02,PROFITABLE,65,-51.78,-21.97,0.492,0.747,-0.7,0.72,REJECT
468,Coiled box<2% oi>8% H=24,279,24.78,-21.56,0.487,1.104,0.46,1.02,PROFITABLE,65,-89.63,-93.45,0.415,0.61,-1.28,0.72,REJECT
469,Coiled box<2% oi>12% H=18,86,-8.5,-47.88,0.453,0.967,-0.08,0.32,REJECT,22,66.72,45.65,0.545,1.538,0.71,0.24,PROFITABLE
470,Coiled box<2% oi>12% H=24,86,63.79,-61.06,0.442,1.239,0.5,0.32,PROFITABLE,22,19.9,-35.92,0.455,1.117,0.2,0.24,PROFITABLE
471,Coiled box<2% oi>16% H=18,39,-175.83,-47.2,0.487,0.553,-1.16,0.14,REJECT,13,-9.51,-98.0,0.462,0.938,-0.09,0.14,REJECT
472,Coiled box<2% oi>16% H=24,39,-88.69,-32.77,0.462,0.762,-0.58,0.14,REJECT,13,-72.19,-66.8,0.385,0.622,-0.65,0.14,REJECT
473,Coiled box<2% oi>8% H=18,378,-31.11,-38.63,0.474,0.863,-0.75,1.38,REJECT,90,-50.8,22.6,0.511,0.772,-0.75,1.0,REJECT
474,Coiled box<2% oi>8% H=24,373,-31.88,-58.25,0.45,0.877,-0.67,1.37,REJECT,90,-88.96,-83.6,0.433,0.647,-1.32,1.0,REJECT
475,Coiled box<2% oi>12% H=18,114,-43.07,-41.79,0.465,0.837,-0.49,0.42,REJECT,34,-43.01,-22.73,0.5,0.801,-0.46,0.38,REJECT
476,Coiled box<2% oi>12% H=24,114,-37.13,-92.22,0.404,0.88,-0.36,0.42,REJECT,34,-90.94,-85.44,0.412,0.655,-0.9,0.38,REJECT
477,Coiled box<2% oi>16% H=18,49,-200.61,-83.57,0.429,0.479,-1.62,0.18,REJECT,14,53.06,-32.91,0.5,1.372,0.45,0.16,PROFITABLE
478,Coiled box<2% oi>16% H=24,49,-173.92,-56.98,0.388,0.584,-1.31,0.18,REJECT,14,0.19,-35.92,0.429,1.001,0.0,0.16,PROFITABLE
479,Coiled box<3% oi>8% H=18,522,-19.97,-34.27,0.481,0.91,-0.48,1.91,REJECT,116,-38.07,-5.97,0.5,0.816,-0.63,1.29,REJECT
480,Coiled box<3% oi>8% H=24,516,-27.28,-57.36,0.457,0.894,-0.59,1.89,REJECT,116,-74.84,-83.6,0.431,0.69,-1.23,1.29,REJECT
481,Liq Flush drop<-10% rsi<22 H=6,175,300.34,300.99,0.68,3.269,0.98,0.64,PROFITABLE,93,5.18,9.97,0.527,1.054,0.07,1.03,PROFITABLE
482,Liq Flush drop<-10% rsi<22 H=12,169,654.9,514.1,0.68,5.533,1.04,0.62,PROFITABLE,92,-15.91,-38.72,0.446,0.872,-0.2,1.02,REJECT
483,Liq Flush drop<-10% rsi<22 H=18,169,1031.61,646.67,0.704,7.126,1.08,0.62,PROFITABLE,91,107.29,173.86,0.67,1.935,0.74,1.01,PROFITABLE
484,Liq Flush drop<-10% rsi<25 H=6,271,254.37,273.14,0.675,2.703,0.94,0.99,PROFITABLE,124,2.18,8.53,0.524,1.024,0.04,1.38,PROFITABLE
485,Liq Flush drop<-10% rsi<25 H=12,261,566.75,401.11,0.67,4.44,1.0,0.96,PROFITABLE,123,-27.93,-45.34,0.407,0.774,-0.46,1.37,REJECT
486,Liq Flush drop<-10% rsi<25 H=18,260,890.19,567.38,0.688,5.783,1.04,0.95,PROFITABLE,122,93.88,146.83,0.631,1.826,0.74,1.36,PROFITABLE
487,Liq Flush drop<-10% rsi<28 H=6,395,154.8,168.51,0.623,1.778,0.64,1.45,PROFITABLE,151,3.4,9.97,0.53,1.038,0.07,1.68,PROFITABLE
488,Liq Flush drop<-10% rsi<28 H=12,370,365.96,183.48,0.603,2.705,0.86,1.36,PROFITABLE,150,-14.74,-36.02,0.44,0.881,-0.25,1.67,REJECT
489,Liq Flush drop<-10% rsi<28 H=18,368,603.3,246.42,0.614,3.505,0.94,1.35,PROFITABLE,149,94.1,119.97,0.617,1.815,0.83,1.66,PROFITABLE
490,Liq Flush drop<-15% rsi<22 H=6,90,561.85,603.73,0.833,7.119,1.02,0.33,PROFITABLE,34,-4.19,12.24,0.529,0.966,-0.03,0.38,REJECT
491,Liq Flush drop<-15% rsi<22 H=12,88,1138.17,1405.44,0.807,11.355,0.98,0.32,PROFITABLE,33,8.04,20.99,0.545,1.056,0.06,0.37,PROFITABLE
492,Liq Flush drop<-15% rsi<22 H=18,88,1745.56,2155.66,0.818,13.492,1.01,0.32,PROFITABLE,33,152.7,216.2,0.727,2.225,0.87,0.37,PROFITABLE
493,Liq Flush drop<-15% rsi<25 H=6,134,467.92,485.53,0.821,4.805,0.95,0.49,PROFITABLE,44,5.46,19.1,0.545,1.053,0.05,0.49,PROFITABLE
494,Liq Flush drop<-15% rsi<25 H=12,131,1019.13,1311.97,0.794,8.616,0.95,0.48,PROFITABLE,43,-16.45,-6.58,0.488,0.882,-0.17,0.48,REJECT
495,Liq Flush drop<-15% rsi<25 H=18,130,1550.65,2031.85,0.785,9.966,0.96,0.48,PROFITABLE,43,133.58,173.86,0.698,2.222,0.91,0.48,PROFITABLE
496,ShortSqueeze oi>8% fr<-0.0002 H=18,545,41.48,-79.64,0.453,1.129,0.62,2.0,PROFITABLE,205,-102.99,-184.51,0.361,0.658,-1.89,2.28,REJECT
497,ShortSqueeze oi>8% fr<-0.0002 H=24,527,42.37,-135.19,0.417,1.118,0.55,1.93,PROFITABLE,198,-67.83,-167.25,0.348,0.78,-1.14,2.2,REJECT
498,ShortSqueeze oi>8% fr<-0.0004 H=18,287,-24.11,-180.93,0.404,0.937,-0.34,1.05,REJECT,96,-163.0,-309.52,0.281,0.591,-1.91,1.07,REJECT
499,ShortSqueeze oi>8% fr<-0.0004 H=24,278,-8.03,-209.28,0.388,0.981,-0.1,1.02,REJECT,92,-187.19,-305.77,0.283,0.57,-2.13,1.02,REJECT
500,ShortSqueeze oi>8% fr<-0.0006 H=18,188,-51.73,-170.7,0.394,0.875,-0.64,0.69,REJECT,53,-138.87,-300.32,0.283,0.654,-1.17,0.59,REJECT
501,ShortSqueeze oi>8% fr<-0.0006 H=24,182,-22.31,-224.87,0.407,0.951,-0.25,0.67,REJECT,50,-133.6,-338.99,0.32,0.704,-1.04,0.56,REJECT
502,ShortSqueeze oi>12% fr<-0.0002 H=18,423,67.1,-60.69,0.47,1.197,0.89,1.55,PROFITABLE,144,-162.66,-245.92,0.34,0.562,-2.39,1.6,REJECT
503,ShortSqueeze oi>12% fr<-0.0002 H=24,405,80.03,-144.39,0.427,1.212,0.89,1.48,PROFITABLE,137,-110.58,-249.89,0.358,0.705,-1.5,1.52,REJECT
504,ShortSqueeze oi>12% fr<-0.0004 H=18,242,-25.8,-191.18,0.409,0.937,-0.34,0.89,REJECT,77,-171.48,-309.74,0.325,0.599,-1.89,0.86,REJECT
505,ShortSqueeze oi>12% fr<-0.0004 H=24,232,16.22,-238.91,0.388,1.036,0.18,0.85,PROFITABLE,73,-196.16,-322.29,0.329,0.578,-2.09,0.81,REJECT
506,ShortSqueeze oi>12% fr<-0.0006 H=18,164,-68.24,-197.79,0.384,0.847,-0.79,0.6,REJECT,48,-142.08,-321.81,0.292,0.67,-1.06,0.53,REJECT
507,ShortSqueeze oi>12% fr<-0.0006 H=24,158,-28.71,-309.95,0.399,0.94,-0.29,0.58,REJECT,45,-132.95,-375.9,0.333,0.724,-0.93,0.5,REJECT
